# L=200, N=100, precision=54, alpha=2.0 
#      l                      S1                   S1_OP                 S_alpha           S_alpha_OP(1)                sigma2_n                 H_alpha             navge_alpha           S_alpha_OP(3)           S_alpha_OP(4)           S_alpha_OP(5)
       1      6.931471805599E-01      0.000000000000E+00      6.931471805599E-01      0.000000000000E+00      2.500000000000E-01      6.931471805599E-01      5.000000000000E-01     -0.000000000000E+00     -0.000000000000E+00     -0.000000000000E+00
       2      9.478538659821E-01      1.331583697214E-01      7.057670387511E-01      6.590887649583E-02      2.973409652262E-01      6.200165327819E-01      1.000000000000E+00      6.497829641779E-02      6.497829641779E-02      6.544643093399E-02
       3      1.089136617670E+00      2.053792696938E-01      8.920850584907E-01      9.972400910271E-02      3.446819304523E-01      7.876772208750E-01      1.500000000000E+00      9.946893896539E-02      9.946893896539E-02      9.959848802779E-02
       4      1.186610974453E+00      2.649797229776E-01      8.979521720329E-01      1.351730324763E-01      3.694904030198E-01      7.443867609163E-01      2.000000000000E+00      1.343687275076E-01      1.343687275076E-01      1.347726281092E-01
       5      1.261450077787E+00      3.088183571355E-01      1.003301122011E+00      1.599782576149E-01      3.942988755873E-01      8.362744037480E-01      2.500000000000E+00      1.595808296002E-01      1.595808296002E-01      1.597825905809E-01
       6      1.322335303780E+00      3.478731762386E-01      1.007001020285E+00      1.844881872591E-01      4.109849662149E-01      8.052573017703E-01      3.000000000000E+00      1.837494113885E-01      1.837494113885E-01      1.841204274334E-01
       7      1.373683974006E+00      3.799928240115E-01      1.080226090593E+00      2.037308686386E-01      4.276710568425E-01      8.681627867718E-01      3.500000000000E+00      2.032628014761E-01      2.032628014761E-01      2.035002637804E-01
       8      1.418077180580E+00      4.093878791195E-01      1.082851324447E+00      2.225505233980E-01      4.402048819091E-01      8.438463785804E-01      4.000000000000E+00      2.218507449365E-01      2.218507449365E-01      2.222023481538E-01
       9      1.457163917203E+00      4.348107892869E-01      1.138906241169E+00      2.382248454724E-01      4.527387069757E-01      8.915706166336E-01      4.500000000000E+00      2.377192333558E-01      2.377192333558E-01      2.379755932914E-01
      10      1.492064751192E+00      4.584409206470E-01      1.140876959157E+00      2.535284069840E-01      4.627540409230E-01      8.714840839033E-01      5.000000000000E+00      2.528547854312E-01      2.528547854312E-01      2.531934307780E-01
      11      1.523576765927E+00      4.794831906878E-01      1.186253525654E+00      2.667368188079E-01      4.727693748704E-01      9.098959356524E-01      5.500000000000E+00      2.662101494384E-01      2.662101494384E-01      2.664770592328E-01
