# L=200, N=100, l=100, alpha=2.0 
# ==============================================================================
#      n                    P(n)              P(n)^alpha              P(n)_alpha
       0      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       1      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       2      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       3      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       4      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       5      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       6      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       7      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       8      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
       9      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      10      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      11      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      12      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      13      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      14      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      15      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      16     8.793003561362E-396     2.212148234874E-790     3.883319557916E-790
      17     5.193608886724E-379     7.717527929605E-757     1.289863061822E-757
      18     1.387776946925E-362     5.510348483107E-724     1.733212771280E-725
      19     2.230931025961E-346     1.424006638826E-691     1.224046454851E-693
      20     2.421812170848E-330     1.678110837591E-659     5.018773772288E-662
      21     1.889770787878E-314     1.021781393740E-627     1.272505309548E-630
      22     1.101775638189E-298     3.473170134438E-596     2.086164724429E-599
      23     4.924582322479E-283     6.938706711523E-565     2.293925628083E-568
      24     1.717512269656E-267     8.439941256970E-534     1.751069757402E-537
      25     4.730266500224E-252     6.401930365170E-503     9.548652255818E-507
      26     1.036615016029E-236     3.074501565356E-472     3.799060349026E-476
      27     1.814467622984E-221     9.419723903600E-442     1.118231024211E-445
      28     2.537390735414E-206     1.842105193555E-411     2.452812657066E-415
      29     2.825051647465E-191     2.283455283398E-381     4.013800363238E-385
      30     2.484913344629E-176     1.766697620290E-351     4.875125343050E-355
      31     1.704335738337E-161     8.310937742784E-322     4.341864330550E-325
      32     8.929886094633E-147     2.281558274914E-292     2.775793404402E-295
      33     3.462246388961E-132     3.429696334556E-263     1.230080620028E-265
      34     9.438656969563E-118     2.548943053084E-234     3.561363850880E-236
      35     1.655519175657E-103     7.841662711298E-206     6.022824733526E-207
      36      1.559422429797E-89     6.957725335496E-178     4.513530756195E-178
      37      4.691294759345E-76     6.296876409486E-151     9.383128210404E-151
      38      1.067999496215E-63     3.263486518790E-126     5.089817599959E-126
      39      1.356471196377E-52     5.264545456150E-104     8.136450552413E-104
      40      1.030406328071E-42      3.037783099993E-84      4.631592884754E-84
      41      5.146687240895E-34      7.578709879202E-67      1.137462505216E-66
      42      1.864787154457E-26      9.949431472493E-52      1.466296860331E-51
      43      5.424104975995E-20      8.417747598844E-39      1.214207554864E-38
      44      1.407610352734E-14      5.668976177911E-28      7.968038822764E-28
      45      3.644160097399E-10      3.799571523639E-19      5.170194912060E-19
      46      1.062216577310E-06      3.228240466050E-12      4.208429756930E-12
      47      3.993287047507E-04      4.562478031497E-07      5.599209112206E-07
      48      2.266562293553E-02      1.469856869719E-03      1.658220906635E-03
      49      2.311662821389E-01      1.528933878190E-01      1.574108704832E-01
      50      4.915354072797E-01      6.912725981205E-01      6.818606973701E-01
      51      2.311662821389E-01      1.528933878190E-01      1.574108704832E-01
      52      2.266562293553E-02      1.469856869719E-03      1.658220906635E-03
      53      3.993287047505E-04      4.562478031494E-07      5.599209112207E-07
      54      1.062216577307E-06      3.228240466031E-12      4.208429756930E-12
      55      3.644160097315E-10      3.799571523465E-19      5.170194912070E-19
      56      1.407610352439E-14      5.668976175535E-28      7.968038822677E-28
      57      5.424104964844E-20      8.417747564232E-39      1.214207554647E-38
      58      1.864787113044E-26      9.949431030573E-52      1.466296860062E-51
      59      5.146685823266E-34      7.578705704167E-67      1.137462448858E-66
      60      1.030402719425E-42      3.037761822436E-84      4.631590793484E-84
      61      1.356403020847E-52     5.264016282866E-104     8.136510818292E-104
      62      1.067043300644E-63     3.257645440335E-126     5.091121157754E-126
      63      4.606431217277E-76     6.071121281317E-151     9.378275500744E-151
      64      1.194369567902E-89     4.081475423245E-178     4.062842676857E-178
      65     6.748505750122E-104     1.303031671681E-206     1.297789378477E-207
      66     1.932917685344E-118     1.068972287974E-235     1.687790996777E-237
      67     3.498783199765E-133     3.502464905042E-265     1.236815316960E-267
      68     4.428736833158E-148     5.611764994552E-295     5.854596954512E-298
      69     4.149465606559E-163     4.926336411594E-325     1.928130165060E-328
      70     2.981041787136E-178     2.542587192547E-355     4.621935763330E-359
      71     1.680186562322E-193     8.077086638922E-386     8.299693208974E-390
      72     7.541448753394E-209     1.627231324011E-416     1.137150278068E-420
      73     2.720765562300E-224     2.117980567899E-447     1.201795263051E-451
      74     7.927994551546E-240     1.798317677225E-478     9.846637709271E-483
      75     1.867625950922E-255     9.979746899419E-510     6.253574353477E-514
      76     3.547107097762E-271     3.599882535847E-541     3.062408338454E-545
      77     5.395049251216E-287     8.327805140812E-573     1.143759192420E-576
      78     6.496728108412E-303     1.207616701403E-604     3.199957638988E-608
      79     6.086440582975E-319     1.059903925794E-636     6.525151610741E-640
      80     4.321163576920E-335     5.342458298280E-669     9.306459466033E-672
      81     2.233503038562E-351     1.427291970589E-701     8.719170730148E-704
      82     7.874475724175E-368     1.774120132645E-734     4.861940643161E-736
      83     1.679524260367E-384     8.070720184084E-768     1.367611589334E-768
      84     1.618209449914E-401     7.492197088846E-802     1.315219072041E-801
      85      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      86      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      87      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      88      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      89      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      90      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      91      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      92      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      93      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      94      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      95      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      96      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      97      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      98      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
      99      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
     100      0.000000000000E+00      0.000000000000E+00      0.000000000000E+00
#1.0  
#1.00000000000000011  
