# L=200, N=100,l=100,alpha=2.0 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
0 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
1 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
2 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
3 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
4 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
5 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
6 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
7 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
8 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
9 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
10 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
11 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
12 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
13 1.511451469424548E-441 6.536242276298489E-882 1.147405814252406E-881 
14 9.721398518491800E-425 2.703941063189795E-848 3.892436131782243E-849 
15 2.869948147335151E-408 2.356610605162875E-815 5.403399053732646E-817 
16 5.179818526681609E-392 7.676598319769856E-783 4.018748072468187E-785 
17 6.424272968998061E-376 1.180830872743949E-750 1.789071451571599E-753 
18 5.835082151619234E-360 9.741675905093149E-719 5.137382390704154E-722 
19 4.038759715839825E-344 4.666978056648305E-687 1.004066574907416E-690 
20 2.188058415314553E-328 1.369801230403923E-655 1.389123120454570E-659 
21 9.454691525542453E-313 2.557610787600330E-624 1.400459200754229E-628 
22 3.302480599101900E-297 3.120471908483795E-593 1.051364961422014E-597 
23 9.413531679478417E-282 2.535390766124439E-562 5.973984548647737E-567 
24 2.203697473362759E-266 1.389452404864100E-531 2.600796063683501E-536 
25 4.252706490056583E-251 5.174525687756330E-501 8.752740379373338E-506 
26 6.774514477686653E-236 1.313094788876499E-470 2.290684777329410E-475 
27 8.899114130773361E-221 2.265861084318259E-440 4.676514734650524E-445 
28 9.605683434820971E-206 2.639953438439243E-410 7.448427102031312E-415 
29 8.464680493025486E-191 2.050033071237056E-380 9.224744854899785E-385 
30 6.028429585358715E-176 1.039795928147181E-350 8.816928587203428E-355 
31 3.418325725676370E-161 3.343232763495722E-321 6.418365469797955E-325 
32 1.509793486003897E-146 6.521910307664438E-292 3.483186654904221E-295 
33 5.026750561296456E-132 7.229602134853452E-263 1.361285201294690E-265 
34 1.198431617865516E-117 4.109284822266322E-234 3.613219286270660E-236 
35 1.873939316355344E-103 1.004733246941203E-205 5.827427131232636E-207 
36 1.612626986770444E-89 7.440593421862074E-178 4.336587827499711E-178 
37 4.703300933423115E-76 6.329148155117665E-151 9.382706767852166E-151 
38 1.068179304597376E-63 3.264585492399642E-126 5.090109356781432E-126 
