# L=200, N=100,l=100 
# ================================================================
# n  nu  
1 1.000000000000000E+00 
2 1.000000000000000E+00 
3 1.000000000000000E+00 
4 1.000000000000000E+00 
5 1.000000000000000E+00 
6 1.000000000000000E+00 
7 1.000000000000000E+00 
8 1.000000000000000E+00 
9 1.000000000000000E+00 
10 1.000000000000000E+00 
11 1.000000000000000E+00 
12 1.000000000000000E+00 
13 1.000000000000000E+00 
14 9.999999999999999E-01 
15 9.999999999999999E-01 
16 9.999999999999999E-01 
17 9.999999999999998E-01 
18 9.999999999999998E-01 
19 9.999999999999997E-01 
20 9.999999999999997E-01 
21 9.999999999999997E-01 
22 9.999999999999996E-01 
23 9.999999999999996E-01 
24 9.999999999999994E-01 
25 9.999999999999993E-01 
26 9.999999999999993E-01 
27 9.999999999999993E-01 
28 9.999999999999991E-01 
29 9.999999999999991E-01 
30 9.999999999999991E-01 
31 9.999999999999989E-01 
32 9.999999999999989E-01 
33 9.999999999999989E-01 
34 9.999999999999989E-01 
35 9.999999999999987E-01 
36 9.999999999999986E-01 
37 9.999999999999788E-01 
38 9.999999999995706E-01 
39 9.999999999920881E-01 
40 9.999999998674077E-01 
41 9.999999979811570E-01 
42 9.999999721312712E-01 
43 9.999996522257928E-01 
44 9.999960924295608E-01 
45 9.999606901115986E-01 
46 9.996489228084503E-01 
47 9.972573892572368E-01 
48 9.818616125760250E-01 
49 9.062703581780882E-01 
50 6.744811796668696E-01 
51 3.255188203331324E-01 
52 9.372964182191365E-02 
53 1.813838742397583E-02 
54 2.742610742763274E-03 
55 3.510771915503641E-04 
56 3.930988840150639E-05 
57 3.907570438888008E-06 
58 3.477742072099943E-07 
59 2.786872821403108E-08 
60 2.018842093498563E-09 
61 1.325922704964455E-10 
62 7.912273314563800E-12 
63 4.291011990176230E-13 
64 2.053912595556540E-14 
65 1.554312234475219E-15 
66 5.454188146059708E-16 
67 4.949348461475402E-16 
68 4.871686644401447E-16 
69 4.348429914150399E-16 
70 3.647256140884882E-16 
71 3.454721089377240E-16 
72 3.231063684737804E-16 
73 2.975855778035768E-16 
74 2.845017581711923E-16 
75 2.698081638496868E-16 
76 2.398782174037087E-16 
77 1.849959161704475E-16 
78 1.766037548079730E-16 
79 1.149884537230027E-16 
80 7.569871083823544E-17 
81 1.929390592795281E-17 
82 0.000000000000000E+00 
83 0.000000000000000E+00 
84 0.000000000000000E+00 
85 0.000000000000000E+00 
86 0.000000000000000E+00 
87 0.000000000000000E+00 
88 0.000000000000000E+00 
89 0.000000000000000E+00 
90 0.000000000000000E+00 
91 0.000000000000000E+00 
92 0.000000000000000E+00 
93 0.000000000000000E+00 
94 0.000000000000000E+00 
95 0.000000000000000E+00 
96 0.000000000000000E+00 
97 0.000000000000000E+00 
98 0.000000000000000E+00 
99 0.000000000000000E+00 
100 0.000000000000000E+00 
