# logL =3000,NumOfEigs=16812,alpha=10.0, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
0 1.682128289692908E-50652 3.348322171860182E-506503 0.000000000000000E+00 
1 5.113195711909228E-50638 2.255071163241016E-506358 0.000000000000000E+00 
2 7.758564619902945E-50624 1.458981911934210E-506216 0.000000000000000E+00 
3 7.835457462043532E-50610 1.610199410136385E-506076 0.000000000000000E+00 
4 5.925069844136752E-50596 9.843982487780731E-505938 0.000000000000000E+00 
5 3.578467399035097E-50582 6.356334462671453E-505800 0.000000000000000E+00 
6 1.798057209707603E-50568 6.520353611021517E-505663 0.000000000000000E+00 
7 7.731199174132354E-50555 1.408330905457336E-505526 0.000000000000000E+00 
8 2.903899519889679E-50541 7.871399236754568E-505391 0.000000000000000E+00 
9 9.679361466078319E-50528 1.332610330561179E-505255 0.000000000000000E+00 
10 2.898924290953525E-50514 7.737574163223541E-505121 0.000000000000000E+00 
11 7.879823576093118E-50501 1.703731023064702E-504986 0.000000000000000E+00 
12 1.960149985875481E-50487 1.545713958726021E-504852 0.000000000000000E+00 
13 4.493465030373624E-50474 6.195120430224823E-504719 0.000000000000000E+00 
14 9.549259892736570E-50461 1.163947049462183E-504585 0.000000000000000E+00 
15 1.890929833956258E-50447 1.078922451421948E-504452 0.000000000000000E+00 
16 3.504552554244039E-50434 5.158956447877975E-504320 0.000000000000000E+00 
17 6.102961025687604E-50421 1.323250467633751E-504187 0.000000000000000E+00 
18 1.002084711663541E-50407 1.884865887719008E-504055 0.000000000000000E+00 
19 1.556202804086040E-50394 1.537793519392302E-503923 0.000000000000000E+00 
20 2.292082145720133E-50381 7.388186898805600E-503792 0.000000000000000E+00 
21 3.209837859158732E-50368 2.143221426498942E-503660 0.000000000000000E+00 
22 4.283615351724438E-50355 3.840084265052023E-503529 0.000000000000000E+00 
23 5.458962761981138E-50342 4.338478095643641E-503398 0.000000000000000E+00 
24 6.655848838953194E-50329 3.149710167587357E-503267 0.000000000000000E+00 
25 7.777583263145116E-50316 1.495143174884462E-503136 0.000000000000000E+00 
26 8.724264534773867E-50303 4.715463067947437E-503006 0.000000000000000E+00 
27 9.408024763900760E-50290 1.002814511677867E-502875 0.000000000000000E+00 
28 9.766732790834740E-50277 1.457904749513635E-502745 0.000000000000000E+00 
29 9.773166500368405E-50264 1.467537028083162E-502615 0.000000000000000E+00 
30 9.437842943908050E-50251 1.035055292584185E-502485 0.000000000000000E+00 
31 8.805298387102187E-50238 5.172218543254213E-502356 0.000000000000000E+00 
32 7.945130893593963E-50225 1.850319201992904E-502226 0.000000000000000E+00 
33 6.940130145936049E-50212 4.785333810054275E-502097 0.000000000000000E+00 
34 5.874113664720062E-50199 9.029413673149461E-501968 0.000000000000000E+00 
35 4.821705812382297E-50186 1.253843066454872E-501838 0.000000000000000E+00 
36 3.841465919489242E-50173 1.291831698837243E-501709 0.000000000000000E+00 
37 2.972802205927074E-50160 9.951676200638328E-501581 0.000000000000000E+00 
38 2.236272685051919E-50147 5.774091776403916E-501452 0.000000000000000E+00 
39 1.636340538622439E-50134 2.540814669744869E-501323 0.000000000000000E+00 
40 1.165461795588884E-50121 8.535255146863042E-501195 0.000000000000000E+00 
41 8.084793716262037E-50109 2.202548724433581E-501066 0.000000000000000E+00 
42 5.465682948738618E-50096 4.392183216577850E-500938 0.000000000000000E+00 
43 3.603050893346853E-50083 6.806754030219099E-500810 0.000000000000000E+00 
44 2.317295294323634E-50070 8.242327909315794E-500682 0.000000000000000E+00 
45 1.454793587399094E-50057 7.838805192975269E-500554 0.000000000000000E+00 
46 8.919582369073602E-50045 5.884116938377072E-500426 0.000000000000000E+00 
47 5.343375660038741E-50032 3.502621180448107E-500298 0.000000000000000E+00 
48 3.129040588431401E-50019 1.660917486829151E-500170 0.000000000000000E+00 
49 1.791922130351786E-50006 6.301260320386669E-500043 0.000000000000000E+00 
50 1.003968403174266E-49993 1.920598301607737E-499915 0.000000000000000E+00 
51 5.505379917623939E-49981 4.721815726744152E-499788 0.000000000000000E+00 
52 2.955884736887259E-49968 9.399636107291470E-499661 0.000000000000000E+00 
53 1.554464821101229E-49955 1.520705341349243E-499533 0.000000000000000E+00 
54 8.009801413691261E-49943 2.006566600192693E-499406 0.000000000000000E+00 
55 4.045373427517398E-49930 2.166817155290336E-499279 0.000000000000000E+00 
56 2.003247944113166E-49917 1.921246760275797E-499152 0.000000000000000E+00 
57 9.729446450812840E-49905 1.403193009364577E-499025 0.000000000000000E+00 
58 4.636093617156083E-49892 8.467555706606768E-498899 0.000000000000000E+00 
59 2.167981791092162E-49879 4.234404996785876E-498772 0.000000000000000E+00 
60 9.952285371798674E-49867 1.759803981503036E-498645 0.000000000000000E+00 
61 4.486152490210091E-49854 6.095037871870712E-498519 0.000000000000000E+00 
62 1.986212011374694E-49841 1.763973799258394E-498392 0.000000000000000E+00 
63 8.639530483315236E-49829 4.276982805248160E-498266 0.000000000000000E+00 
64 3.692977734342904E-49816 8.709695728137563E-498140 0.000000000000000E+00 
65 1.551639758829963E-49803 1.493293189298014E-498013 0.000000000000000E+00 
66 6.409662837661006E-49791 2.160667521846751E-497887 0.000000000000000E+00 
67 2.603807470677307E-49778 2.644385567836234E-497761 0.000000000000000E+00 
68 1.040419100857080E-49765 2.743590297729485E-497635 0.000000000000000E+00 
69 4.090035440711003E-49753 2.418281221808711E-497509 0.000000000000000E+00 
70 1.582180293712377E-49740 1.814662234976937E-497383 0.000000000000000E+00 
71 6.023976467166260E-49728 1.161632508208034E-497257 0.000000000000000E+00 
72 2.257848143210626E-49715 6.355992587278249E-497132 0.000000000000000E+00 
73 8.332469881793093E-49703 2.978335490167478E-497006 0.000000000000000E+00 
74 3.028317813240426E-49690 1.197431291063955E-496880 0.000000000000000E+00 
75 1.084068564481487E-49677 4.138124965804493E-496755 0.000000000000000E+00 
76 3.823107211532336E-49665 1.231404857351052E-496629 0.000000000000000E+00 
77 1.328481269500069E-49652 3.160752186407587E-496504 0.000000000000000E+00 
78 4.549320060795159E-49640 7.009725505449118E-496379 0.000000000000000E+00 
79 1.535538273338806E-49627 1.345372506223974E-496253 0.000000000000000E+00 
80 5.109367012692722E-49615 2.238242246307393E-496128 0.000000000000000E+00 
81 1.676228916372051E-49602 3.232729560092317E-496003 0.000000000000000E+00 
82 5.422819389127708E-49590 4.059639719476239E-495878 0.000000000000000E+00 
83 1.730241559125985E-49577 4.439187444748465E-495753 0.000000000000000E+00 
84 5.445537865213108E-49565 4.232957551948811E-495628 0.000000000000000E+00 
85 1.690785184465289E-49552 3.524685952905409E-495503 0.000000000000000E+00 
86 5.179757383695183E-49540 2.566435019913277E-495378 0.000000000000000E+00 
87 1.565892955810882E-49527 1.636276885498743E-495253 0.000000000000000E+00 
88 4.672005903756732E-49515 9.146815522175627E-495129 0.000000000000000E+00 
89 1.375906908278420E-49502 4.488762247991517E-495004 0.000000000000000E+00 
90 4.000124584482173E-49490 1.936293859339113E-494879 0.000000000000000E+00 
91 1.148180093399285E-49477 7.350827326839460E-494755 0.000000000000000E+00 
92 3.254247618431273E-49465 2.458906686897400E-494630 0.000000000000000E+00 
93 9.108485899313214E-49453 7.256012037068197E-494506 0.000000000000000E+00 
94 2.517947228874684E-49440 1.891047032422231E-494381 0.000000000000000E+00 
95 6.875442599293004E-49428 4.357553195921501E-494257 0.000000000000000E+00 
96 1.854624682413082E-49415 8.887844432497615E-494133 0.000000000000000E+00 
97 4.942645757416172E-49403 1.606315851989831E-494008 0.000000000000000E+00 
98 1.301537788058926E-49390 2.575158161771792E-493884 0.000000000000000E+00 
99 3.386825005866059E-49378 3.665756956312470E-493760 0.000000000000000E+00 
100 8.709863279110431E-49366 4.638199977268885E-493636 0.000000000000000E+00 
101 2.213887585748410E-49353 5.221457423377073E-493512 0.000000000000000E+00 
102 5.562469286920182E-49341 5.234947752655742E-493388 0.000000000000000E+00 
103 1.381620845747759E-49328 4.678696381541475E-493264 0.000000000000000E+00 
104 3.392812566456428E-49316 3.731081805683989E-493140 0.000000000000000E+00 
105 8.237973006806487E-49304 2.657294795285798E-493016 0.000000000000000E+00 
106 1.977922959672686E-49291 1.691725161773852E-492892 0.000000000000000E+00 
107 4.696400814615219E-49279 9.635796915437309E-492769 0.000000000000000E+00 
108 1.102872377181692E-49266 4.914605758706667E-492645 0.000000000000000E+00 
109 2.561689762393295E-49254 2.246474108997604E-492521 0.000000000000000E+00 
110 5.885795127993699E-49242 9.210591105854938E-492398 0.000000000000000E+00 
111 1.337816629416347E-49229 3.390017901488515E-492274 0.000000000000000E+00 
112 3.008401112670048E-49217 1.120968728772761E-492150 0.000000000000000E+00 
113 6.693554866402735E-49205 3.332762509198074E-492027 0.000000000000000E+00 
114 1.473647038298505E-49192 8.916016163530150E-491904 0.000000000000000E+00 
115 3.210544657463141E-49180 2.147945425784495E-491780 0.000000000000000E+00 
116 6.922213630919370E-49168 4.663221806412591E-491657 0.000000000000000E+00 
117 1.477148687398312E-49155 9.130156461970377E-491534 0.000000000000000E+00 
118 3.119950459224700E-49143 1.613292339023957E-491410 0.000000000000000E+00 
119 6.522983155473534E-49131 2.574534176619836E-491287 0.000000000000000E+00 
120 1.350050988780635E-49118 3.713109900664445E-491164 0.000000000000000E+00 
121 2.766235899033825E-49106 4.843153369943792E-491041 0.000000000000000E+00 
122 5.611676907657077E-49094 5.716927395993231E-490918 0.000000000000000E+00 
123 1.127169683259368E-49081 6.111236408047332E-490795 0.000000000000000E+00 
124 2.241854664322224E-49069 5.919849107051857E-490672 0.000000000000000E+00 
125 4.415450113995263E-49057 5.199791330183381E-490549 0.000000000000000E+00 
126 8.612302802301021E-49045 4.144088295567299E-490426 0.000000000000000E+00 
127 1.663670625297519E-49032 2.998538134449145E-490303 0.000000000000000E+00 
128 3.183066375063599E-49020 1.971029116158579E-490180 0.000000000000000E+00 
129 6.032265532441979E-49008 1.177716052687917E-490057 0.000000000000000E+00 
130 1.132393391283346E-48995 6.400432951269959E-489935 0.000000000000000E+00 
131 2.105821877940716E-48983 3.165573669011785E-489812 0.000000000000000E+00 
132 3.879522656211469E-48971 1.425670015882999E-489689 0.000000000000000E+00 
133 7.080955121007182E-48959 5.849981727192215E-489567 0.000000000000000E+00 
134 1.280520237654870E-48946 2.188268237473015E-489444 0.000000000000000E+00 
135 2.294488612391927E-48934 7.466123290844620E-489322 0.000000000000000E+00 
136 4.073930962507761E-48922 2.324731188480201E-489199 0.000000000000000E+00 
137 7.167914493337674E-48910 6.609433701703855E-489077 0.000000000000000E+00 
138 1.249816090557301E-48897 1.716711068739424E-488954 0.000000000000000E+00 
139 2.159712642152854E-48885 4.075639812901905E-488832 0.000000000000000E+00 
140 3.698830959176031E-48873 8.848729745025951E-488710 0.000000000000000E+00 
141 6.278753362233238E-48861 1.757803514292726E-488587 0.000000000000000E+00 
142 1.056438568443656E-48848 3.196528430741318E-488465 0.000000000000000E+00 
143 1.761968373641257E-48836 5.323744189809943E-488343 0.000000000000000E+00 
144 2.913103115816429E-48824 8.124463059749997E-488221 0.000000000000000E+00 
145 4.774611641835314E-48812 1.136623464756553E-488098 0.000000000000000E+00 
146 7.758271319359141E-48800 1.458430460189470E-487976 0.000000000000000E+00 
147 1.249846212252276E-48787 1.717124856464764E-487854 0.000000000000000E+00 
148 1.996331268085050E-48775 1.855932521108900E-487732 0.000000000000000E+00 
149 3.161640577315243E-48763 1.842302998778378E-487610 0.000000000000000E+00 
150 4.964956153753780E-48751 1.680313305758782E-487488 0.000000000000000E+00 
151 7.731438175479151E-48739 1.408766335723317E-487366 0.000000000000000E+00 
152 1.193893994780359E-48726 1.086159908406273E-487244 0.000000000000000E+00 
153 1.828311833241747E-48714 7.704399463316922E-487123 0.000000000000000E+00 
154 2.776719187478414E-48702 5.029857765718823E-487001 0.000000000000000E+00 
155 4.182430836794258E-48690 3.023596058143366E-486879 0.000000000000000E+00 
156 6.248249759541230E-48678 1.674248438599547E-486757 0.000000000000000E+00 
157 9.258449480530451E-48666 8.543163196659282E-486636 0.000000000000000E+00 
158 1.360772868475747E-48653 4.018764035045107E-486514 0.000000000000000E+00 
159 1.983889751155691E-48641 1.743457758865389E-486392 0.000000000000000E+00 
