# L=200000, N=100000, PBC, precision=1000, alpha=2.0 
# l    S1    S1_OP    S_alpha    S_alpha_OP(1)    sigma2 H2 navge_alpha S_alpha_OP(3) S_alpha_OP(4) S_alpha_OP(5) 
1 6.931471805599453E-01 -2.319046813846300E-17 6.931471805599453E-01 0.000000000000000E+00 2.500000000000000E-01 6.931471805599453E-01 5.000000000000000E-01 -0.000000000000000E+00 -0.000000000000000E+00 -0.000000000000000E+00 
2 9.478932674281557E-01 1.331718849235656E-01 7.058144804528168E-01 6.591833845121678E-02 2.973576326986577E-01 6.200508623189790E-01 1.000000000000000E+00 6.498741600037297E-02 6.498741600037297E-02 6.545572296112973E-02 
3 1.089245766382906E+00 2.054383877162299E-01 8.921587023510499E-01 9.976111810396650E-02 3.447152653973155E-01 7.877103915274091E-01 1.500000000000000E+00 9.950576089555218E-02 9.950576089555218E-02 9.963545646782678E-02 
4 1.186817022346283E+00 2.650968379656662E-01 8.981319177895390E-01 1.352443006338965E-01 3.695570794921203E-01 7.444934171953597E-01 2.000000000000000E+00 1.344397770648306E-01 1.344397770648306E-01 1.348437877348767E-01 
5 1.261779992641422E+00 3.090197292268124E-01 1.003530138338009E+00 1.601038401157272E-01 3.943988935869252E-01 8.363713909640055E-01 2.499999999999999E+00 1.597059142207118E-01 1.597059142207118E-01 1.599079285639861E-01 
6 1.322816288863790E+00 3.481726726447071E-01 1.007395702212643E+00 1.846746089933413E-01 4.111350129736763E-01 8.054663600682641E-01 3.000000000000000E+00 1.839357332061086E-01 1.839357332061086E-01 1.843068007924477E-01 
7 1.374343387555048E+00 3.804166192126981E-01 1.080692683850726E+00 2.039990067092740E-01 4.278711323604276E-01 8.683519838467659E-01 3.500000000000000E+00 2.035303105958096E-01 2.035303105958096E-01 2.037680919267625E-01 
8 1.418942459159093E+00 4.099510214261249E-01 1.083543445018440E+00 2.229071010774170E-01 4.404716932144989E-01 8.441858355294594E-01 3.999999999999999E+00 2.222073439178050E-01 2.222073439178050E-01 2.225589393628920E-01 
9 1.458262542062591E+00 4.355393709041314E-01 1.139692787344236E+00 2.386911357776597E-01 4.530722540685695E-01 8.918790653231125E-01 4.499999999999999E+00 2.381848238583495E-01 2.381848238583495E-01 2.384415376076645E-01 
10 1.493424236832346E+00 4.593506819736280E-01 1.141949089910845E+00 2.541113333547026E-01 4.631710572851739E-01 8.719807384873948E-01 4.999999999999999E+00 2.534378648679146E-01 2.534378648679146E-01 2.537764379907759E-01 
11 1.525224657399479E+00 4.806001674445037E-01 1.187442550050453E+00 2.674579210652958E-01 4.732698605017795E-01 9.103497612601899E-01 5.499999999999999E+00 2.669305293887018E-01 2.669305293887018E-01 2.671978031299361E-01 
12 1.554251345184517E+00 5.005895636054725E-01 1.189308961283853E+00 2.805050179536005E-01 4.816939333935825E-01 8.934050645348473E-01 6.000000000000000E+00 2.798508055300298E-01 2.798508055300298E-01 2.801798648086309E-01 
13 1.580949951912783E+00 5.187792091709639E-01 1.227542023101792E+00 2.920746362056407E-01 4.901180062853813E-01 9.254774889765901E-01 6.499999999999998E+00 2.915351302421821E-01 2.915351302421821E-01 2.918084372033220E-01 
14 1.605666587517041E+00 5.360269683494082E-01 1.229133198750044E+00 3.033983308616284E-01 4.973430118984782E-01 9.107026450689832E-01 6.999999999999998E+00 3.027591133080191E-01 3.027591133080191E-01 3.030807722201290E-01 
16 1.650197448585854E+00 5.671212524304820E-01 1.263489187918537E+00 3.236284442185169E-01 5.108923903645147E-01 9.251304049097487E-01 7.999999999999998E+00 3.230014307653655E-01 3.230014307653655E-01 3.233170675050913E-01 
18 1.689472370345518E+00 5.948385830103954E-01 1.293696580057179E+00 3.417627417401497E-01 5.228399513918440E-01 9.374577186341428E-01 9.000000000000000E+00 3.411459901551704E-01 3.411459901551704E-01 3.414565609273154E-01 
20 1.724602455207991E+00 6.198528507846759E-01 1.320648943761520E+00 3.582036445121865E-01 5.335249915264907E-01 9.481871912569087E-01 9.999999999999998E+00 3.575957365574755E-01 3.575957365574755E-01 3.579019381509494E-01 
22 1.756379829945454E+00 6.426531910085084E-01 1.344979310869000E+00 3.732470450037301E-01 5.431891889285618E-01 9.576639333637860E-01 1.100000000000000E+01 3.726469044031573E-01 3.726469044031573E-01 3.729492649276704E-01 
